image_id,diagnosis,mri_intensity_mean,mri_intensity_std,mri_intensity_variance,mri_intensity_skewness,mri_intensity_kurtosis,mri_intensity_entropy,mri_intensity_energy,mri_intensity_rms,mri_intensity_p10,mri_intensity_p90,mri_dynamic_range,mri_edge_density,mri_laplacian_sharpness,mri_foreground_ratio,mri_spatial_contrast,mri_spatial_homogeneity,mri_spatial_dissimilarity,mri_spatial_correlation,mri_glcm_energy,mri_hemispheric_symmetry,mri_high_freq_fourier_ratio,mri_compactness,mri_contrast_to_noise,mri_tissue_heterogeneity
Te-gl_1.jpg,1,0.259,0.2347,0.0551,0.6371,0.07,3.4451,0.1222,0.3495,0.0,0.5725,0.5725,0.3126,0.0109,0.6391,0.0048,0.9955,0.0323,0.9568,0.9913,0.885,0.2834,50.0,20.0,0.115
Te-gl_120.jpg,1,0.1278,0.1526,0.0233,1.2446,1.7124,2.5547,0.0396,0.1991,0.004,0.2857,0.2817,0.1584,0.0079,0.4537,0.0024,0.9977,0.0178,0.9486,0.9956,0.8912,0.317,50.0,20.0,0.049
Te-gl_142.jpg,1,0.2246,0.1912,0.0365,0.2649,-1.0824,3.5191,0.087,0.2949,0.0129,0.4635,0.4506,0.1914,0.0048,0.6006,0.0012,0.9988,0.0196,0.9834,0.9976,0.814,0.2909,50.0,20.0,0.0743
Te-gl_164.jpg,1,0.0912,0.1248,0.0156,1.6267,3.1704,2.3186,0.0239,0.1545,0.0,0.217,0.217,0.1234,0.0034,0.4032,0.0013,0.9988,0.0128,0.9595,0.9976,0.9424,0.2592,50.0,20.0,0.0324
Te-gl_186.jpg,1,0.1016,0.1506,0.0227,1.6501,2.6346,2.4113,0.033,0.1816,0.0,0.2789,0.2789,0.1421,0.0057,0.3621,0.0017,0.9984,0.0157,0.9627,0.9968,0.889,0.3085,50.0,20.0,0.047
Te-gl_207.jpg,1,0.2128,0.146,0.0213,0.3629,0.3779,3.4751,0.0666,0.2581,0.0163,0.3699,0.3537,0.2344,0.007,0.7341,0.0026,0.9975,0.0248,0.9401,0.9952,0.7899,0.2811,50.0,17.3218,0.0452
Te-gl_229.jpg,1,0.3081,0.2435,0.0593,0.2461,-0.7315,4.0134,0.1542,0.3927,0.0,0.6431,0.6431,0.3597,0.0108,0.7025,0.0046,0.9956,0.038,0.9611,0.9913,0.8504,0.2826,50.0,20.0,0.1232
Te-gl_250.jpg,1,0.1705,0.196,0.0384,0.8468,-0.2274,2.9388,0.0675,0.2598,0.0,0.4292,0.4292,0.1892,0.0065,0.4621,0.0024,0.9977,0.0207,0.9684,0.9954,0.9216,0.2713,50.0,20.0,0.0793
Te-gl_272.jpg,1,0.2561,0.1864,0.0347,0.5745,0.4419,4.0925,0.1003,0.3167,0.0,0.4921,0.4921,0.2966,0.0047,0.7764,0.0025,0.9976,0.0279,0.9643,0.9952,0.8401,0.1954,50.0,14.2334,0.072
Te-gl_294.jpg,1,0.0993,0.1363,0.0186,1.4925,2.1187,2.3621,0.0284,0.1687,0.0,0.2407,0.2407,0.1277,0.0033,0.39,0.0013,0.9987,0.0135,0.9646,0.9975,0.9344,0.2599,50.0,20.0,0.0385
Te-gl_315.jpg,1,0.1736,0.1807,0.0327,0.9249,0.4204,3.2476,0.0628,0.2506,0.008,0.38,0.372,0.196,0.0047,0.5202,0.0018,0.9983,0.0187,0.9723,0.9966,0.837,0.2258,50.0,20.0,0.0671
Te-gl_337.jpg,1,0.1603,0.1692,0.0286,1.2676,1.6893,3.2407,0.0543,0.2331,0.0165,0.3498,0.3333,0.1845,0.0038,0.5065,0.0014,0.9986,0.0174,0.9753,0.9973,0.7942,0.2242,50.0,20.0,0.0587
Te-gl_359.jpg,1,0.1422,0.18,0.0324,1.2954,1.2454,2.8228,0.0526,0.2294,0.0,0.371,0.371,0.1774,0.0051,0.4348,0.0025,0.9976,0.0198,0.9611,0.9953,0.8694,0.247,50.0,20.0,0.0673
Te-gl_380.jpg,1,0.1609,0.1954,0.0382,1.2439,1.4294,2.9186,0.0641,0.2531,0.0,0.376,0.376,0.1982,0.0082,0.4582,0.0031,0.9971,0.022,0.9593,0.9943,0.8812,0.2807,50.0,20.0,0.0795
Te-gl_41.jpg,1,0.1657,0.1723,0.0297,0.9797,0.7327,3.1613,0.0572,0.2391,0.0084,0.3724,0.364,0.1949,0.0061,0.514,0.0022,0.9979,0.0204,0.9633,0.9959,0.8214,0.2625,50.0,20.0,0.0616
Te-gl_63.jpg,1,0.1021,0.1345,0.0181,1.3055,1.8046,2.1786,0.0285,0.1689,0.0,0.2455,0.2455,0.124,0.0036,0.396,0.0015,0.9986,0.0136,0.9594,0.9972,0.9134,0.2565,50.0,20.0,0.0377
Te-gl_85.jpg,1,0.1291,0.1479,0.0219,1.1628,1.0871,3.0265,0.0385,0.1963,0.0,0.3068,0.3068,0.1576,0.0029,0.4773,0.0013,0.9988,0.0163,0.971,0.9975,0.8731,0.2289,50.0,14.8621,0.045
Te-aug-me_13.jpg,1,0.1822,0.1674,0.028,0.9245,1.105,3.4489,0.0612,0.2474,0.0079,0.3543,0.3465,0.2067,0.0043,0.6003,0.0017,0.9983,0.0198,0.9696,0.9967,0.773,0.2265,50.0,17.4061,0.0578
Te-aug-me_35.jpg,1,0.1453,0.1741,0.0303,1.227,0.849,3.0056,0.0514,0.2267,0.0,0.378,0.378,0.1907,0.0053,0.4666,0.0019,0.9981,0.0204,0.9682,0.9963,0.8713,0.2688,50.0,20.0,0.0625
Te-aug-me_57.jpg,1,0.1244,0.1743,0.0304,1.3509,1.4069,2.3585,0.0459,0.2142,0.0,0.3289,0.3289,0.1383,0.0032,0.3758,0.0016,0.9985,0.0134,0.9742,0.9971,0.9258,0.2085,50.0,20.0,0.0623
Te-aug-me_79.jpg,1,0.1666,0.1611,0.0259,1.0949,1.798,3.4841,0.0537,0.2317,0.004,0.356,0.352,0.205,0.0037,0.5873,0.0016,0.9985,0.0186,0.9691,0.997,0.7729,0.2061,50.0,13.4452,0.0535
Te-me_10.jpg,1,0.2486,0.1945,0.0378,0.6397,0.2419,4.0789,0.0996,0.3157,0.016,0.488,0.472,0.2683,0.0062,0.6991,0.0023,0.9978,0.0256,0.9703,0.9957,0.6664,0.24,50.0,19.3564,0.0779
Te-me_121.jpg,1,0.2851,0.2266,0.0514,0.8376,0.4152,3.9357,0.1326,0.3642,0.0471,0.5412,0.4941,0.3318,0.0151,0.6616,0.005,0.9953,0.0345,0.9512,0.9909,0.7852,0.2531,50.0,20.0,0.1077
Te-me_143.jpg,1,0.1512,0.1673,0.028,0.9203,0.1962,3.1124,0.0509,0.2256,0.0,0.3655,0.3655,0.1916,0.0067,0.4966,0.0022,0.9979,0.0203,0.9614,0.9959,0.8691,0.2981,50.0,20.0,0.0582
Te-me_165.jpg,1,0.3367,0.2609,0.0681,0.5189,-0.2776,4.3806,0.1815,0.426,0.0,0.7176,0.7176,0.3669,0.0082,0.7697,0.0038,0.9963,0.0344,0.972,0.9928,0.5573,0.1954,50.0,20.0,0.14
Te-me_187.jpg,1,0.2886,0.3258,0.1062,0.6713,-1.0695,3.7856,0.1895,0.4353,0.0,0.8103,0.8103,0.3582,0.0135,0.5304,0.0063,0.9943,0.0356,0.9703,0.989,0.5938,0.2818,50.0,20.0,0.2186
Te-me_208.jpg,1,0.2069,0.2969,0.0882,1.1751,0.2859,2.4968,0.131,0.3619,0.0,0.5608,0.5608,0.2541,0.0206,0.3729,0.0062,0.9946,0.0272,0.965,0.99,0.852,0.3076,50.0,20.0,0.1825
Te-me_23.jpg,1,0.1343,0.2096,0.0439,1.5706,1.5949,2.3852,0.062,0.249,0.0,0.4398,0.4398,0.144,0.0025,0.3193,0.0011,0.9989,0.014,0.9875,0.9979,0.921,0.228,50.0,20.0,0.089
Te-me_251.jpg,1,0.3553,0.3057,0.0934,0.4155,-0.8496,4.1743,0.2196,0.4687,0.0,0.8275,0.8275,0.2964,0.006,0.6788,0.003,0.9971,0.0291,0.984,0.9943,0.6687,0.2403,50.0,20.0,0.1898
Te-me_273.jpg,1,0.1669,0.1603,0.0257,1.01,0.9839,3.4383,0.0536,0.2314,0.008,0.36,0.352,0.206,0.0053,0.5721,0.002,0.998,0.0207,0.9604,0.9961,0.8036,0.2406,50.0,16.2192,0.0534
