Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Integrated Medical Imaging Data and Deep Learning into a Smart Diagnostic Framework: AI-Enabled Biomedical Technology for Early Disease Prediction","The study presents a smart diagnostic framework that integrates medical imaging data and deep learning algorithms for early disease prediction, enhancing diagnostic accuracy and reducing diagnostic latencies in healthcare.","Kanimozhi Rajasekaran, Baby Joice. A, S. M, M. G, S. A, Nishavithri. N",2025,0,"Early detection is essential for successful treatment and management of diseases, especially for lifethreatening and chronic diseases like cancer, cardiovascular diseases, and neurodegenerative diseases. Artificial intelligence (AI), and high-resolution medical imaging are changing the way we approach healthcare diagnostics. This study introduces a new intelligent testing framework where multimodal medical imaging data and deep learning algorithms are integrated to support a reliable and early prediction of disease. The proposed framework utilizes CNNs, RNNs and attention mechanisms to learn and analyze multiple medical images including MRI, CT, PET and ultrasound images. In this integrated setting, advanced data pre-processing, segmentation, feature extraction and classification techniques are exploited to (i) identify anomalies, (ii) predict disease progression, and (iii) provide decision support to clinicians. An essential characteristic of the framework is its capability to integrate disparate imaging information and temporal medical records for a more global and individualized diagnosis. The AI models are developed by transfer learning and fine-tuning techniques to increase performance in the prediction accuracy over diverse patients. Furthermore, the system integrates explainable AI (XAI) principles to increase interpretability as well as the trust of clinicians by showing visual and textual explanations corresponding to each diagnosis decision. Intuitive design to visualize the detected biomarkers, anatomical abnormalities and MI conforming AI generated insights in real-time, enhancing the synergism between the reviewers and the machine intelligence. The SDN system also connects with EHRs to learn from past cases and become increasingly more accurate over time. Performance analysis of the framework with benchmark datasets of lung cancer, brain Tumors, and diabetic retinopathy demonstrates the superior performance in terms of sensitivity, specificity and diagnostic speed compared to the traditional diagnostic methods. The method was flexible to new imaging formats, and robust to noise, variations in intensity and artefacts. These findings illustrate the transformative potential of the integration of imaging and clinical data using deep learning for early disease prediction, to help reduce diagnostic latencies, and tailor treatment strategies. In the end, it is a giant step towards AIdriven preventive and precision healthcare systems.","","2025 International Conference on Electronics and Computing, Communication Networking Automation Technologies (ICEC2NT)","","10.1109/icec2nt65402.2025.11380002","https://consensus.app/papers/integrated-medical-imaging-data-and-deep-learning-into-a-rajasekaran-a/52d2a4a078ec5047b3f1aadcbbebc8d9/"
"Evaluation of artificial intelligence techniques in disease diagnosis and prediction","AI techniques, such as Machine Learning and Deep Learning, have improved disease diagnosis and prediction accuracy, reducing workload for physicians and reducing errors.","Nafiseh Ghaffar Nia, E. Kaplanoğlu, A. Nasab",2023,355,"A broad range of medical diagnoses is based on analyzing disease images obtained through high-tech digital devices. The application of artificial intelligence (AI) in the assessment of medical images has led to accurate evaluations being performed automatically, which in turn has reduced the workload of physicians, decreased errors and times in diagnosis, and improved performance in the prediction and detection of various diseases. AI techniques based on medical image processing are an essential area of research that uses advanced computer algorithms for prediction, diagnosis, and treatment planning, leading to a remarkable impact on decision-making procedures. Machine Learning (ML) and Deep Learning (DL) as advanced AI techniques are two main subfields applied in the healthcare system to diagnose diseases, discover medication, and identify patient risk factors. The advancement of electronic medical records and big data technologies in recent years has accompanied the success of ML and DL algorithms. ML includes neural networks and fuzzy logic algorithms with various applications in automating forecasting and diagnosis processes. DL algorithm is an ML technique that does not rely on expert feature extraction, unlike classical neural network algorithms. DL algorithms with high-performance calculations give promising results in medical image analysis, such as fusion, segmentation, recording, and classification. Support Vector Machine (SVM) as an ML method and Convolutional Neural Network (CNN) as a DL method is usually the most widely used techniques for analyzing and diagnosing diseases. This review study aims to cover recent AI techniques in diagnosing and predicting numerous diseases such as cancers, heart, lung, skin, genetic, and neural disorders, which perform more precisely compared to specialists without human error. Also, AI's existing challenges and limitations in the medical area are discussed and highlighted.

© The Author(s) 2023.","","Discover Artificial Intelligence","1","10.1007/s44163-023-00049-5","https://consensus.app/papers/evaluation-of-artificial-intelligence-techniques-in-nia-kaplano%C4%9Flu/a6486ffe18105c8787e12674438fb562/"
"Machine learning and deep learning approach for medical image analysis: diagnosis to detection","Deep Learning and Machine Learning are rapidly improving medical image analysis for disease detection and classification, reducing detection time and increasing accuracy.","Meghavi Rana, Megha Bhushan",2022,311,"Computer-aided detection using Deep Learning (DL) and Machine Learning (ML) shows tremendous growth in the medical field. Medical images are considered as the actual origin of appropriate information required for diagnosis of disease. Detection of disease at the initial stage, using various modalities, is one of the most important factors to decrease mortality rate occurring due to cancer and tumors. Modalities help radiologists and doctors to study the internal structure of the detected disease for retrieving the required features. ML has limitations with the present modalities due to large amounts of data, whereas DL works efficiently with any amount of data. Hence, DL is considered as the enhanced technique of ML where ML uses the learning techniques and DL acquires details on how machines should react around people. DL uses a multilayered neural network to get more information about the used datasets. This study aims to present a systematic literature review related to applications of ML and DL for the detection along with classification of multiple diseases. A detailed analysis of 40 primary studies acquired from the well-known journals and conferences between Jan 2014-2022 was done. It provides an overview of different approaches based on ML and DL for the detection along with the classification of multiple diseases, modalities for medical imaging, tools and techniques used for the evaluation, description of datasets. Further, experiments are performed using MRI dataset to provide a comparative analysis of ML classifiers and DL models. This study will assist the healthcare community by enabling medical practitioners and researchers to choose an appropriate diagnosis technique for a given disease with reduced time and high accuracy.

© The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2022, Springer Nature or its licensor (e.g. a society or other partner) holds exclusive rights to this article under a publishing agreement with the author(s) or other rightsholder(s); author self-archiving of the accepted manuscript version of this article is solely governed by the terms of such publishing agreement and applicable law.","systematic review","Multimedia Tools and Applications","1","10.1007/s11042-022-14305-w","https://consensus.app/papers/machine-learning-and-deep-learning-approach-for-medical-rana-bhushan/54f63fa45ea5578687124dbc6e53e2ce/"
"A modular deep learning architecture for interpretable disease prediction across tabular clinical and biometric datasets","This study proposes a modular deep learning framework that enables accurate and interpretable disease prediction across diverse clinical datasets, improving reliability, generalization, and practical applicability in real-world healthcare environments.","Vijay U. Rathod, S. Amrutkar, K. Patil, Aoudumber D. Londhe, Sandip Y. Bobade, Virendrakumar A. Dhotre, Melkamu Workie Kebede",2026,0,"Accurate disease prediction using clinical datasets is essential for improving early diagnosis and clinical decision-support systems; however, many existing deep learning approaches are disease-specific, computationally intensive, and difficult to generalize across heterogeneous biomedical datasets. This study addresses this challenge by proposing a unified and dataset-aware deep learning framework that enables accurate and interpretable disease prediction across diverse clinical datasets. The framework adopts a modular architecture that selects appropriate models based on dataset characteristics such as feature dimensionality, sample size, and class imbalance. It integrates multiple deep learning architectures, including MLP, one-dimensional CNN, FT-Transformer, autoencoder-based classifiers, and ensemble strategies. Robust preprocessing, fold-safe feature selection, and nested cross-validation are incorporated to ensure reliable performance evaluation. The framework is evaluated on three heterogeneous benchmark datasets: the UCI Heart Disease dataset (303 samples, 13 clinical features), the PIMA Indians Diabetes dataset (768 samples, 8 metabolic features), and the Parkinson's disease voice dataset (195 recordings, 22 acoustic features). Experimental results demonstrate competitive predictive performance relative to classical baselines across the diverse tasks. The FT-Transformer + autoencoder ensemble achieved an AUC of 0.8980 (±0.0483) for heart disease prediction, while the CNN + Autoencoder ensemble obtained an AUC of 0.8451 (±0.0270) for diabetes classification. For Parkinson's disease detection, the MLP achieved an AUC of 0.7538 with perfect specificity. Overall, all models achieved AUC values comparable to ML baselines. The study contributes a scalable and interpretable deep learning framework that improves reliability, generalization, and practical applicability for multi-disease prediction in real-world healthcare environments.

Copyright: © 2026 Rathod et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","theoretical, modeling, or simulation study","PLOS One","1","10.1371/journal.pone.0348670","https://consensus.app/papers/a-modular-deep-learning-architecture-for-interpretable-rathod-amrutkar/4d4f86e7eb06528aaf1ca2d0130afb78/"
"The Use of Deep Learning and Machine Learning on Longitudinal Electronic Health Records for the Early Detection and Prevention of Diseases: Scoping Review","Machine learning and deep learning models on longitudinal electronic health records can accurately detect and predict various diseases, offering early detection and personalized healthcare benefits.","L. Swinckels, F. Bennis, Kirsten A Ziesemer, J. Scheerman, H. Bijwaard, Ander de Keijzer, J. Bruers",2023,67,"Background: Electronic health records (EHRs) contain patients' health information over time, including possible early indicators of disease. However, the increasing amount of data hinders clinicians from using them. There is accumulating evidence suggesting that machine learning (ML) and deep learning (DL) can assist clinicians in analyzing these large-scale EHRs, as algorithms thrive on high volumes of data. Although ML has become well developed, studies mainly focus on engineering but lack medical outcomes.

Objective: This study aims for a scoping review of the evidence on how the use of ML on longitudinal EHRs can support the early detection and prevention of disease. The medical insights and clinical benefits that have been generated were investigated by reviewing applications in a variety of diseases.

Methods: This study was conducted according to the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines. A literature search was performed in 2022 in collaboration with a medical information specialist in the following databases: PubMed, Embase, Web of Science Core Collection (Clarivate Analytics), and IEEE Xplore Digital Library and computer science bibliography. Studies were eligible when longitudinal EHRs were used that aimed for the early detection of disease via ML in a prevention context. Studies with a technical focus or using imaging or hospital admission data were beyond the scope of this review. Study screening and selection and data extraction were performed independently by 2 researchers.

Results: In total, 20 studies were included, mainly published between 2018 and 2022. They showed that a variety of diseases could be detected or predicted, particularly diabetes; kidney diseases; diseases of the circulatory system; and mental, behavioral, and neurodevelopmental disorders. Demographics, symptoms, procedures, laboratory test results, diagnoses, medications, and BMI were frequently used EHR data in basic recurrent neural network or long short-term memory techniques. By developing and comparing ML and DL models, medical insights such as a high diagnostic performance, an earlier detection, the most important predictors, and additional health indicators were obtained. A clinical benefit that has been evaluated positively was preliminary screening. If these models are applied in practice, patients might also benefit from personalized health care and prevention, with practical benefits such as workload reduction and policy insights.

Conclusions: Longitudinal EHRs proved to be helpful for support in health care. Current ML models on EHRs can support the detection of diseases in terms of accuracy and offer preliminary screening benefits. Regarding the prevention of diseases, ML and specifically DL models can accurately predict or detect diseases earlier than current clinical diagnoses. Adding personally responsible factors allows targeted prevention interventions. While ML models based on textual EHRs are still in the developmental stage, they have high potential to support clinicians and the health care system and improve patient outcomes.

©Laura Swinckels, Frank C Bennis, Kirsten A Ziesemer, Janneke F M Scheerman, Harmen Bijwaard, Ander de Keijzer, Josef Jan Bruers. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 20.08.2024.","systematic review","Journal of Medical Internet Research","1","10.2196/48320","https://consensus.app/papers/the-use-of-deep-learning-and-machine-learning-on-swinckels-bennis/5d2fc055448c5d64938835c5d3837099/"
"Artificial intelligence-driven translational medicine: a machine learning framework for predicting disease outcomes and optimizing patient-centric care","The proposed AI-based framework, combining GBM and DNN, offers superior predictive accuracy and efficiency in translational medicine, enhancing personalized medicine and patient outcomes.","L. Abualigah, S. Alomari, Mohammad H. Almomani, R. A. Zitar, Kashif Saleem, Hazem Migdady, Václav Snášel, A. Smerat, A. Ezugwu",2025,40,"Background: Advancements in artificial intelligence (AI) and machine learning (ML) have revolutionized the medical field and transformed translational medicine. These technologies enable more accurate disease trajectory models while enhancing patient-centered care. However, challenges such as heterogeneous datasets, class imbalance, and scalability remain barriers to achieving optimal predictive performance.

Methods: This study proposes a novel AI-based framework that integrates Gradient Boosting Machines (GBM) and Deep Neural Networks (DNN) to address these challenges. The framework was evaluated using two distinct datasets: MIMIC-IV, a critical care database containing clinical data of critically ill patients, and the UK Biobank, which comprises genetic, clinical, and lifestyle data from 500,000 participants. Key performance metrics, including Accuracy, Precision, Recall, F1-Score, and AUROC, were used to assess the framework against traditional and advanced ML models.

Results: The proposed framework demonstrated superior performance compared to classical models such as Logistic Regression, Random Forest, Support Vector Machines (SVM), and Neural Networks. For example, on the UK Biobank dataset, the model achieved an AUROC of 0.96, significantly outperforming Neural Networks (0.92). The framework was also efficient, requiring only 32.4 s for training on MIMIC-IV, with low prediction latency, making it suitable for real-time applications.

Conclusions: The proposed AI-based framework effectively addresses critical challenges in translational medicine, offering superior predictive accuracy and efficiency. Its robust performance across diverse datasets highlights its potential for integration into real-time clinical decision support systems, facilitating personalized medicine and improving patient outcomes. Future research will focus on enhancing scalability and interpretability for broader clinical applications.

© 2025. The Author(s).","theoretical, modeling, or simulation study","Journal of Translational Medicine","1","10.1186/s12967-025-06308-6","https://consensus.app/papers/artificial-intelligencedriven-translational-medicine-a-abualigah-alomari/083ed00973215a08bcf121a40f3ebf81/"
"An Intelligent Machine-Learning Framework for Healthcare Diagnosis and Disease-Risk Prediction with Explainable Clinical Decision Support","This intelligent machine-learning framework provides accurate healthcare diagnosis and disease-risk prediction with explainable decision support, surpassing individual baseline algorithms and providing interpretable explanations.","T. Subhashini, K. L. S. Sri",2026,0,"The growing volume of clinical data and the persistent shortage of specialist physicians have intensified interest in
computational tools that assist medical diagnosis and disease-risk estimation. While machine learning has shown strong
predictive capability in healthcare, many existing systems function as opaque classifiers that offer limited interpretability,
integrate poorly with clinical workflows, or are evaluated on narrow datasets, which constrains their practical adoption. This
study proposes an intelligent framework that combines accurate machine-learning prediction with explainable decision support
to assist clinicians in diagnosis and risk assessment. The methodology employs an offline training pipeline in which medical data
are cleaned, engineered into informative features, and used to train and validate multiple learning algorithms, culminating in an
ensemble model that is registered and served through a prediction interface. Business logic and model serving are implemented
in Python, while a Node.js layer provides an accessible clinician and patient interface; predictions are accompanied by
confidence scores and the principal contributing factors. An experimental evaluation on a representative clinical dataset
demonstrates that the proposed ensemble attains an accuracy of approximately 94.2 percent, a precision of 92.7 percent, a recall
of 91.5 percent, and an area under the receiver-operating-characteristic curve of 0.96, surpassing individual baseline algorithms
such as logistic regression, decision trees, support vector machines, and a single random forest. The framework further
furnishes interpretable explanations that align with clinically meaningful variables. The principal contributions comprise an
end-to-end predictive pipeline, an explainable decision-support mechanism, and a comparative empirical evaluation validating
the approach for healthcare diagnosis.","","International Journal for Research in Applied Science and Engineering Technology","","10.22214/ijraset.2026.83871","https://consensus.app/papers/an-intelligent-machinelearning-framework-for-healthcare-subhashini-sri/b59ce3bf5c6f5618ab540fec4501d3ef/"
"A Survey on Quantum Machine Learning Applications in Medicine and Healthcare","Quantum machine learning shows promise in medicine and healthcare, with potential for accelerated diagnostics and personalized healthcare, but requires standardized benchmarks, more real hardware testing, and architecture-aware algorithm design.","Radosław Idzikowski, Mateusz A. Kucharski, Konrad Pempera, Michał Jaroszczuk",2026,6,"Quantum machine learning (QML) is an emerging field combining quantum computing and artificial intelligence, with promising applications in medicine and healthcare. This survey reviews more than 60 studies published between 2018 and 2025, highlighting a sharp increase in research activity, especially in the last three years. We address seven core research questions related to publication trends, the use of real quantum hardware versus simulators, quantum architectures overview, dataset types, medical domains, algorithmic frameworks, and reported results. Our analysis shows that most QML research in healthcare is conducted on simulators due to limited hardware access, and it relies on small datasets. Quantum convolutional neural network (QCNN) architectures dominate image-based medical tasks such as tumor detection, pneumonia diagnosis, and ECG interpretation, while feature-based datasets are mainly analyzed with variational quantum classifiers and quantum support vector machines. Despite hardware constraints, QML models often match or surpass classical machine learning approaches in accuracy, frequently reaching 95–99%. However, these performance statements should be qualified to recognize experimental limitations and avoid excessive optimism and should not be interpreted as definitive proof of quantum superiority at this stage. Additionally, issues with reproducibility and reporting of hardware details persist, which is a significant research gap. This review emphasizes the need for standardized benchmarks, more real hardware testing, and architecture-aware algorithm design. With the potential for accelerated diagnostics and personalized healthcare, QML represents a strategic direction for future medical research.","literature review","Applied Sciences","2","10.3390/app16031630","https://consensus.app/papers/a-survey-on-quantum-machine-learning-applications-in-idzikowski-kucharski/e45681420e0a55ab85655a9d4606001f/"
"Quantum Machine Learning in Healthcare: Evaluating QNN and QSVM Models","Quantum Support Vector Machines (QSVMs) outperform Quantum Neural Networks (QNNs) in healthcare classification tasks, highlighting their potential for accurate diagnosis of diseases like cancer, heart failure, and diabetes.","Antonio Tudisco, Deborah Volpe, Giovanna Turvani",2025,5,"Effective and accurate diagnosis of diseases such as cancer, diabetes, and heart failure is crucial for timely medical intervention and improving patient survival rates. Machine learning has revolutionized diagnostic methods in recent years by developing classification models that detect diseases based on selected features. However, these classification tasks are often highly imbalanced, limiting the performance of classical models. Quantum models offer a promising alternative, exploiting their ability to express complex patterns by operating in a higher-dimensional computational space through superposition and entanglement. These unique properties make quantum models potentially more effective in addressing the challenges of imbalanced datasets. This work evaluates the potential of quantum classifiers in healthcare, focusing on Quantum Neural Networks (QNNs) and Quantum Support Vector Machines (QSVMs), comparing them with popular classical models. The study is based on three well-known healthcare datasets—Prostate Cancer, Heart Failure, and Diabetes.The results indicate that QSVMs outperform QNNs across all datasets due to their susceptibility to overfitting. Furthermore, quantum models prove the ability to overcome classical models in scenarios with high dataset imbalance. Although preliminary, these findings highlight the potential of quantum models in healthcare classification tasks and lead the way for further research in this domain.","theoretical, modeling, or simulation study","2025 International Joint Conference on Neural Networks (IJCNN)","","10.1109/ijcnn64981.2025.11227750","https://consensus.app/papers/quantum-machine-learning-in-healthcare-evaluating-qnn-and-tudisco-volpe/72bd0ecc1fcb5fc8ad32c2bb9c4b99e0/"
"Quantum machine learning‐based framework to detect heart failures in Healthcare 4.0","Quantum support vector classifiers (QSVC) outperform variational quantum classifiers (VQC) in detecting chronic heart disease in Healthcare 4.0, with an accuracy of 82%.","Manushi Munshi, Rajesh K. Gupta, N. Jadav, Zdzislaw Polkowski, Sudeep Tanwar, Fayez Alqahtani, Wael Said",2023,25,"Quantum machine learning (QML) is an emerging field that combines the power of quantum computing with machine learning (ML) techniques to solve complex problems. In recent years, QML algorithms have shown tremendous potential in various applications such as image recognition, natural language processing, health care, finance, and drug discovery. QML algorithms aim to reduce computation costs and solve complex problems beyond the scope of classical machine learning algorithms. In this article, we study the performance of two QML algorithms, that is, quantum support vector classifiers (QSVC) and variational quantum classifiers (VQC), for chronic heart disease prediction in Healthcare 4.0. The performance of the two classifiers is assessed using different evaluation metrics like accuracy, precision, recall, and F1 score. The authors concluded the superior performance of QSVC over VQC with an accuracy of 82%.","","Software: Practice and Experience","2","10.1002/spe.3264","https://consensus.app/papers/quantum-machine-learning%E2%80%90based-framework-to-detect-heart-munshi-gupta/fe1db673d9d05689a63e8c1bb7357c11/"
